model,beta,time_M,observer_day,engine_fraction,Lbol_over_LEdd,bolometric_flux_erg_cm2_s,optical_r_flux_erg_cm2_s,optical_r_ab_magnitude,optical_r_flux_density_mJy,uvot_uvw2_flux_erg_cm2_s,uvot_uvw2_ab_magnitude,uvot_uvw2_flux_density_mJy,soft_x_flux_erg_cm2_s,hard_x_flux_erg_cm2_s
cool_reprocessed,10,1160.0,12.955117037769474,0.0001828020370753251,0.0001828020370753251,1.1441723893517992e-14,2.2838790623395854e-16,25.907331279211,0.00015742274766147662,7.247523401589782e-16,25.960736834342505,0.00014986674203979448,3.5024552667138074e-16,3.825752551796967e-33
cool_reprocessed,10,1170.0,13.066799081198521,0.00020030470149871044,0.00020030470149871044,1.2537229484906757e-14,2.5025526036812176e-16,25.808055999153417,0.00017249543267641842,7.941448764940016e-16,25.861461554284922,0.0001642159655830076,3.8378032758060155e-16,4.192055160631794e-33
cool_reprocessed,10,1180.0,13.178481124627568,0.00021845145168085568,0.00021845145168085568,1.3673048912691347e-14,2.72927317777105e-16,25.713896519090333,0.00018812278191445,8.660910094321744e-16,25.76730207422184,0.00017909323047523372,4.185491856119837e-16,4.571837448219525e-33
cool_reprocessed,10,1190.0,13.290163168056615,0.00023729940645731857,0.00023729940645731857,1.4852757289906752e-14,2.9647544118458615e-16,25.624042226937725,0.00020435398412740687,9.40817197115867e-16,25.67744778206923,0.00019454536449766777,4.546615394619599e-16,4.966294819898015e-33
cool_reprocessed,10,1200.0,13.401845211485664,0.00025680631070217936,0.00025680631070217936,1.6073709834844875e-14,3.208468381824998e-16,25.538269627333854,0.00022115265067251734,1.0181559113168166e-15,25.59167518246536,0.00021053772559621994,4.920364290434923e-16,5.374542943860025e-33
cool_reprocessed,10,1210.0,13.513527254914711,0.00027703675216383494,0.00027703675216383494,1.7339949145694908e-14,3.461222029516151e-16,25.45594038898185,0.00023857440226922517,1.0983632220577931e-15,25.509345944113356,0.00022712326479694446,5.307976033602337e-16,5.7979335377734626e-33
cool_reprocessed,10,1220.0,13.625209298343758,0.0002978708341054354,0.0002978708341054354,1.8643970790992526e-14,3.7215173976136176e-16,25.3772139029495,0.00025651598802354386,1.1809637766457976e-15,25.43061945808102,0.0002442036870610092,5.707153423477032e-16,6.233957355820859e-33
cool_reprocessed,10,1230.0,13.736891341772806,0.0003193394482862619,0.0003193394482862619,1.9987708310352144e-14,3.9897404393778214e-16,25.301652430204946,0.0002750040108426618,1.2660800511494175e-15,25.35505798533645,0.00026180431840443365,6.11848834079909e-16,6.683260912826616e-33
cool_reprocessed,10,1240.0,13.848573385201853,0.0003414673624067075,0.0003414673624067075,2.137271193370504e-14,4.266200595738714e-16,25.228910856915512,0.0002940597998075427,1.353810241677992e-15,25.282316412047017,0.0002799454641510812,6.542455330404408e-16,7.146362556914725e-33
cool_reprocessed,10,1250.0,13.9602554286309,0.00036422400093582673,0.00036422400093582673,2.2797067914418136e-14,4.550515864306918e-16,25.15886245502785,0.00031365702433582747,1.4440331259084074e-15,25.212268010159356,0.00029860205753866505,6.978468570432874e-16,7.622622391411126e-33
cool_reprocessed,10,1260.0,14.071937472059947,0.00038759206816005575,0.00038759206816005575,2.4259693700117793e-14,4.842470157128989e-16,25.09134665456616,0.00033378078996137354,1.536680131799122e-15,25.14475220969768,0.0003177599190083325,7.4261966780179e-16,8.111678444855536e-33
cool_reprocessed,10,1270.0,14.183619515488994,0.0004115931346381036,0.0004115931346381036,2.5761939409111927e-14,5.142332970913972e-16,25.02611355147034,0.0003544496724980772,1.6318367798024957e-15,25.079519106601843,0.00033743673276869234,7.886052941316257e-16,8.613982154339933e-33
cool_reprocessed,10,1280.0,14.295301558918041,0.0004361968199327968,0.0004361968199327968,2.7301903505840735e-14,5.449724740721155e-16,24.963077619158277,0.00037563750937154105,1.729382621080601e-15,25.01648317428978,0.0003576075920013425,8.357455276430604e-16,9.128897706189041e-33
cool_reprocessed,10,1290.0,14.406983602347088,0.0004614243388879891,0.0004614243388879891,2.8880913844138344e-14,5.76491051905467e-16,24.90203261017168,0.00039736257006641666,1.8294017657887455e-15,24.95543816530317,0.0003782898892888936,8.840810156082884e-16,9.656869092955173e-33
cool_reprocessed,10,1300.0,14.518665645776135,0.00048723695775615476,0.00048723695775615476,3.049654604815184e-14,6.087406376980276e-16,24.842933299665297,0.00041959149842836225,1.9317406468517954e-15,24.896338854796802,0.0003994518695117557,9.335375448400879e-16,1.0197085679615831e-32
cool_reprocessed,10,1310.0,14.630347689205182,0.0005136021250191188,0.0005136021250191188,3.2146762692646623e-14,6.416805624660173e-16,24.78571682692364,0.0004422962622236364,2.0362702077813723e-15,24.83912238205516,0.00042106684593243147,9.840527471952498e-16,1.074886621526312e-32
cool_reprocessed,10,1320.0,14.74202973263423,0.0005405561642075386,0.0005405561642075386,3.383383729609803e-14,6.753562078432875e-16,24.730181796374403,0.0004655081420117578,2.1431344599039816e-15,24.783587351505908,0.0004431645977004652,1.035696217927357e-15,1.1312970892957939e-32
cool_reprocessed,10,1330.0,14.853711776063276,0.0005680656536932188,0.0005680656536932188,3.5555677972397994e-14,7.097258177542028e-16,24.676287527252292,0.0004891983562505401,2.252200897019833e-15,24.729693082383797,0.00046571772473535727,1.0884039217775207e-15,1.1888700251789459e-32
cool_reprocessed,10,1340.0,14.965393819492324,0.0005961033146729667,0.0005961033146729667,3.7310577319707513e-14,7.447553108020487e-16,24.623980014897647,0.0005133434133847457,2.3633613672901026e-15,24.677385570029152,0.0004887038630338033,1.1421235930328196e-15,1.2475483390291846e-32
cool_reprocessed,10,1350.0,15.07707586292137,0.0006247216519691714,0.0006247216519691714,3.910182165633281e-14,7.805102850876152e-16,24.573067461199123,0.000537988528738767,2.4768240357522534e-15,24.626473016330614,0.0005121660576668471,1.1969558300206285e-15,1.3074419149930162e-32
cool_reprocessed,10,1360.0,15.188757906350418,0.0006538540406158281,0.0006538540406158281,4.092524087302542e-14,8.169075011857172e-16,24.523581827079802,0.0005630763272123088,2.592324755459141e-15,24.576987382211307,0.0005360496874346733,1.252772980463756e-15,1.3684113177349356e-32
cool_reprocessed,10,1370.0,15.300439949779467,0.0006835594061503303,0.0006835594061503303,4.278452316571535e-14,8.540205790642958e-16,24.475343197277432,0.0005886575534259039,2.710097147555281e-15,24.528748752408937,0.000560403061308306,1.3096879446679595e-15,1.4305798689250162e-32
cool_reprocessed,10,1380.0,15.412121993208514,0.000713769496459838,0.000713769496459838,4.467539658074847e-14,8.917642463850502e-16,24.42838889660799,0.0006146734310370729,2.8298706139702524e-15,24.481794451739496,0.0005851702241028229,1.367569952770985e-15,1.493804727871195e-32
cool_reprocessed,10,1390.0,15.52380403663756,0.0007445336217706667,0.0007445336217706667,4.660094748413937e-14,9.302001100070956e-16,24.38257307061793,0.0006411664242953321,2.9518406541770786e-15,24.435978625749435,0.0006103916018609826,1.4265134823096387e-15,1.5581890929443298e-32
cool_reprocessed,10,1400.0,15.635486080066608,0.0007757609329699771,0.0007757609329699771,4.855548955815492e-14,9.692146655133232e-16,24.33796409452983,0.0006680582971088162,3.075647080137459e-15,24.391369649661335,0.0006359927136810605,1.4863444679623143e-15,1.623542831566669e-32
cool_reprocessed,10,1410.0,15.747168123495655,0.0008074884164634774,0.0008074884164634774,5.054133781114345e-14,1.008854122715691e-15,24.294443104219205,0.0006953809008819507,3.2014365312681078e-15,24.34784865935071,0.0006620038821579903,1.5471337750396723e-15,1.6899433503351436e-32
cool_reprocessed,10,1420.0,15.858850166924702,0.0008397153095174401,0.0008397153095174401,5.255844450299851e-14,1.0491175286753708e-15,24.251953678733038,0.0007231335787750144,3.3292059835707006e-15,24.305359233864543,0.0006884244819791626,1.608879942157145e-15,1.757389052970767e-32
cool_reprocessed,10,1430.0,15.970532210353749,0.0008724054855998224,0.0008724054855998224,5.4604548445543645e-14,1.089959747883236e-15,24.210487887507533,0.0007512852198768342,3.4588122067560204e-15,24.263893442639038,0.0007152248955005673,1.6715137515070718e-15,1.8258043324538574e-32
cool_reprocessed,10,1440.0,16.082214253782794,0.0009055719296933858,0.0009055719296933858,5.6680462379106555e-14,1.1313970034245037e-15,24.169976476582995,0.0007798470064023205,3.590306682179492e-15,24.2233820317145,0.0007424157682111332,1.7350600820907968e-15,1.8952163642643653e-32
cool_reprocessed,10,1450.0,16.193896297211843,0.0009392359517596984,0.0009392359517596984,5.878752011101427e-14,1.1734559193870804e-15,24.13034708679637,0.0008088372897481883,3.7237738971081206e-15,24.183752641927875,0.000770014570673904,1.7995597634244034e-15,1.9656697467235968e-32
cool_reprocessed,10,1460.0,16.305578340640892,0.0009733142795782556,0.0009733142795782556,6.092050956720977e-14,1.2160324577176007e-15,24.091651119312665,0.0008381843587783614,3.858883703488599e-15,24.14505667444417,0.0007979530337569319,1.8648532473803418e-15,2.0369902044705183e-32
cool_reprocessed,10,1470.0,16.417260384069937,0.0010078918424786568,0.0010078918424786568,6.308474654151723e-14,1.2592327268165799e-15,24.05374903132317,0.000867961351673554,3.995972819288407e-15,24.107154586454662,0.0008263007851412555,1.931103257078393e-15,2.1093554809289096e-32
cool_reprocessed,10,1480.0,16.528942427498986,0.0010428491443622134,0.0010428491443622134,6.527275167873132e-14,1.3029074314998987e-15,24.01673013393279,0.0008980653625554109,4.1345674802183166e-15,24.070135689064294,0.0008549598582435505,1.998080840069832e-15,2.182515489988243e-32
cool_reprocessed,10,1490.0,16.64062447092803,0.0010782957927359543,0.0010782957927359543,6.749138539929451e-14,1.3471935124135056e-15,23.98043908006087,0.000928590781591552,4.275102245424873e-15,24.033844635192374,0.0008840201126750355,2.0659960024335885e-15,2.2566996225275368e-32
cool_reprocessed,10,1500.0,16.75230651435708,0.0011141384708801404,0.0011141384708801404,6.97348069360087e-14,1.39197438217917e-15,23.944935930417593,0.0009594572476729923,4.4172071435877966e-15,23.998341485549098,0.000913405044513824,2.1346699509561117e-15,2.3317125816647776e-32
cool_reprocessed,10,1510.0,16.863988557786126,0.00115040708418335,0.00115040708418335,7.200488809076687e-14,1.4372874037781361e-15,23.910154988239036,0.0009906905142788246,4.561000740127375e-15,23.96356054337054,0.0009431391711188436,2.2041599838422822e-15,2.407616954567207e-32
cool_reprocessed,10,1520.0,16.975670601215175,0.0011870529981199026,0.0011870529981199026,7.429858479019087e-14,1.483071814553331e-15,23.876108583680285,0.0010222486990493858,4.706290214510185e-15,23.92951413881179,0.0009731826204075342,2.2743729181859688e-15,2.484310956996692e-32
cool_reprocessed,10,1530.0,17.08735264464422,0.0012241239417358273,0.0012241239417358273,7.661888443297223e-14,1.5293872458801133e-15,23.842720376639228,0.0010541729045767992,4.853264797328822e-15,23.896125931770733,0.0010035745221223396,2.3454002020100237e-15,2.561894478168125e-32
cool_reprocessed,10,1540.0,17.19903468807327,0.0012614491783854616,0.0012614491783854616,7.895510047759628e-14,1.5760203840249818e-15,23.81010946122442,0.0010863160984082721,5.0012475717093024e-15,23.863515016355926,0.0010341749011008301,2.416914706868076e-15,2.640010193749524e-32
cool_reprocessed,10,1550.0,17.310716731502314,0.0012990790338229716,0.0012990790338229716,8.131038285276793e-14,1.62303410462e-15,23.778194922708472,0.0011187216193305365,5.150438063371831e-15,23.831600477839977,0.0010650250159467839,2.489012856030647e-15,2.718763427448164e-32
cool_reprocessed,10,1560.0,17.422398774931363,0.0013369219826705491,0.0013369219826705491,8.367900291279543e-14,1.6703140583409511e-15,23.747018695943517,0.0011513106488758888,5.300473403101097e-15,23.80042425107502,0.0010960498313356195,2.5615192884641994e-15,2.797962631372507e-32
cool_reprocessed,10,1566.75,17.49778415424597,0.001362544764927966,0.001362544764927966,8.528275309339267e-14,1.7023264674217577e-15,23.72640690815691,0.0011733760965603269,5.402059641961197e-15,23.779812463288415,0.0011170561776562122,2.610612094048402e-15,2.851586992552388e-32
cool_reprocessed,10,1580.0,17.645762861789457,0.001413669800364883,0.001413669800364883,8.848270944439597e-14,1.766200699823025e-15,23.686413905681228,0.0012174031964851133,5.604754259955789e-15,23.739819460812733,0.0011589700568458772,2.7085667735978293e-15,2.958583466942277e-32
cool_reprocessed,10,1590.0,17.757444905218502,0.001452606371278373,0.001452606371278373,9.091978017336691e-14,1.8148469952863396e-15,23.656913995075406,0.0012509340152647302,5.75912546576292e-15,23.71031955020691,0.001190891457298333,2.7831685669069128e-15,3.0400714459132804e-32
cool_reprocessed,10,1600.0,17.86912694864755,0.0014919391903697465,0.0014919391903697465,9.338165238878291e-14,1.8639883524740402e-15,23.627906051344247,0.0012848060691745254,5.915067670442928e-15,23.681311606475752,0.0012231377142152393,2.8585295648396202e-15,3.122388708573863e-32
cool_reprocessed,10,1610.0,17.9808089920766,0.0015316720553803255,0.0015316720553803255,9.58685637942731e-14,1.9136295161811133e-15,23.599369384458633,0.001319022628697057,6.072595930840661e-15,23.652774939590138,0.0012557119411019384,2.9346570438023344e-15,3.2055432029856456e-32
cool_reprocessed,10,1620.0,18.092491035505645,0.001571847052791284,0.001571847052791284,9.838314861593774e-14,1.9638230681154538e-15,23.57125814401592,0.0013536199372441153,6.231877106561232e-15,23.624663699147426,0.0012886486417523616,3.0116316407616914e-15,3.2896230093830326e-32
cool_reprocessed,10,1630.0,18.204173078934694,0.001612469745307778,0.001612469745307778,1.0092575502788643e-13,2.0145759581699827e-15,23.543554919954808,0.0013886027852236412,6.392933251973638e-15,23.596960475086313,0.00132195237664358,3.0894640137641117e-15,3.374639769613008e-32
cool_reprocessed,10,1640.0,18.31585512236374,0.0016534744943945837,0.0016534744943945837,1.034922746623525e-13,2.0658061793393754e-15,23.51629010652544,0.0014239146470151733,6.555504131017226e-15,23.569695661656944,0.0013555693332821246,3.1680284005166414e-15,3.4604561127810006e-32
cool_reprocessed,10,1650.0,18.42753716579279,0.0016948883616362954,0.0016948883616362954,1.0608440132529128e-13,2.117547541633321e-15,23.489431113019684,0.0014595788271128574,6.719697034327685e-15,23.54283666815119,0.0013895216975888004,3.2473766505451413e-15,3.5471286744300113e-32
cool_reprocessed,10,1660.0,18.539219209221834,0.001736723049541179,0.001736723049541179,1.0870286748593881e-13,2.169814665848192e-15,23.46295743624983,0.001495605403309234,6.885558358654128e-15,23.516362991381335,0.0014238190636404328,3.3275311856521056e-15,3.634681946027192e-32
cool_reprocessed,10,1670.0,18.650901252650883,0.0017789354353663694,0.0017789354353663694,1.1134497405775707e-13,2.2225536755988475e-15,23.436883391553017,0.0015319572398000366,7.052917135941134e-15,23.490288946684522,0.0014584260780838294,3.4084093834115057e-15,3.72302567860913e-32
cool_reprocessed,10,1680.0,18.762583296079928,0.0018215088222729265,0.0018215088222729265,1.1400967597240816e-13,2.275743710307652e-15,23.411205659199375,0.0015686199578490905,7.221707168495895e-15,23.46461121433088,0.001493329052336005,3.489979252970056e-15,3.81212492837804e-32
cool_reprocessed,10,1690.0,18.874265339508977,0.0018644375849648724,0.0018644375849648724,1.166966211381735e-13,2.32937774188241e-15,23.385914233705243,0.0016055887131474185,7.391906153796574e-15,23.439319788836748,0.0015285233746060048,3.572230016358408e-15,3.901967922494416e-32
cool_reprocessed,10,1700.0,18.985947382938022,0.0019076643488843213,0.0019076643488843213,1.1940221843615558e-13,2.3833840881069024e-15,23.36102894797792,0.0016428140967240227,7.563286619842534e-15,23.414434503109426,0.00156396200746359,3.6550517449205915e-15,3.9924345852387764e-32
